layer,mean_proj
0,-0.112996826171875
1,-0.01191986083984375
2,-0.5627490234375
3,-0.624937744140625
4,-0.3835894775390625
5,0.018779296875
6,-0.30266845703125
7,-0.14881103515625
8,-0.2340509033203125
9,-0.01926239013671875
10,-0.24239441871643067
11,-0.016790771484375
12,6.0605615234375
