language,model,term,layer,proj,cosdiff
es,microsoft/mdeberta-v3-base,cantante,7,0.039764404296875,0.0087890625
es,microsoft/mdeberta-v3-base,cantante,8,-0.15380859375,0.00341796875
es,microsoft/mdeberta-v3-base,cantante,9,0.156494140625,0.0087890625
es,microsoft/mdeberta-v3-base,cantante,10,-0.02777099609375,0.01416015625
es,microsoft/mdeberta-v3-base,cantante,11,1.3642578125,0.01806640625
es,microsoft/mdeberta-v3-base,cantante,12,8.6875,0.0126953125
es,microsoft/mdeberta-v3-base,juez,0,-0.364501953125,-0.02972412109375
es,microsoft/mdeberta-v3-base,juez,1,-0.525390625,-0.031494140625
es,microsoft/mdeberta-v3-base,juez,2,-0.69287109375,0.0029296875
es,microsoft/mdeberta-v3-base,juez,3,-0.22900390625,0.01953125
es,microsoft/mdeberta-v3-base,juez,4,0.328857421875,0.041015625
es,microsoft/mdeberta-v3-base,juez,5,0.75830078125,0.052734375
es,microsoft/mdeberta-v3-base,juez,6,0.433349609375,0.03759765625
es,microsoft/mdeberta-v3-base,juez,7,0.4599609375,0.0302734375
es,microsoft/mdeberta-v3-base,juez,8,0.385986328125,0.02978515625
es,microsoft/mdeberta-v3-base,juez,9,0.57470703125,0.0224609375
es,microsoft/mdeberta-v3-base,juez,10,0.30908203125,0.0283203125
es,microsoft/mdeberta-v3-base,juez,11,2.08203125,0.0263671875
es,microsoft/mdeberta-v3-base,juez,12,7.80078125,0.0078125
es,microsoft/mdeberta-v3-base,dentista,0,-1.3671875,-0.1875
es,microsoft/mdeberta-v3-base,dentista,1,-0.845703125,-0.090087890625
es,microsoft/mdeberta-v3-base,dentista,2,-1.2451171875,-0.0556640625
es,microsoft/mdeberta-v3-base,dentista,3,-1.0673828125,-0.03173828125
es,microsoft/mdeberta-v3-base,dentista,4,-0.6142578125,-0.0078125
es,microsoft/mdeberta-v3-base,dentista,5,0.1878662109375,0.02978515625
es,microsoft/mdeberta-v3-base,dentista,6,-0.080078125,0.00732421875
es,microsoft/mdeberta-v3-base,dentista,7,0.1495361328125,0.015625
es,microsoft/mdeberta-v3-base,dentista,8,0.10015869140625,0.015625
